Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
120R,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,76.2,-62.8,-90,top
BOOT,SW_Push_SPDT,SW_SPST_B3U-1100P,98,-60.38,180,top
C1,100n,C_0402_1005Metric,85.4,-66.72,90,top
C2,100n,C_0402_1005Metric,94.6,-76,180,top
C3,100n,C_0402_1005Metric,97.4,-67.12,-90,top
C4,100n,C_0402_1005Metric,88.8,-64,0,top
C5,10u,C_0603_1608Metric,88.8,-62.4,0,top
C6,10n,C_0402_1005Metric,84.6,-71.4,90,top
C7,1u,C_0402_1005Metric,82.72,-73.8,180,top
C8,1u,C_0402_1005Metric,82.72,-75,180,top
C9,100n,C_0402_1005Metric,79.2,-78.2,180,top
C10,10p,C_0402_1005Metric,82,-67.92,90,top
C11,10p,C_0402_1005Metric,82,-70.08,90,top
C12,1u,C_0402_1005Metric,104.8,-72.8,0,top
C13,1u,C_0402_1005Metric,104.8,-73.8,0,top
C14,100n,C_0402_1005Metric,86.32,-59.2,0,top
C15,100n,C_0402_1005Metric,86.32,-60.6,0,top
CAN,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,78.2,-56.2,90,top
D2,Green,LED_0603_1608Metric,97.8,-71.4125,90,top
FB1,FerriteBead,L_0603_1608Metric,84.52,-74.7875,-90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,115.09,-69.8,90,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,101.2,-56.2,90,top
J5,Conn_01x13_Pin,PinHeader_1x13_P2.54mm_Vertical,80.86,-82.6,90,top
PWR,RED,LED_0603_1608Metric,106.5875,-75.4,180,top
R1,10k,R_0402_1005Metric,82.29,-76.8,180,top
R2,10k,R_0402_1005Metric,96.59,-63.4,180,top
R3,5k1,R_0402_1005Metric,114.49,-76.2,180,top
R4,5k1,R_0402_1005Metric,114.89,-63.4,180,top
R5,1k5,R_0402_1005Metric,107.11,-73.8,180,top
R6,1k5,R_0402_1005Metric,108.51,-79.8,0,top
R7,1k5,R_0402_1005Metric,106.2,-79.8,180,top
R8,120R,R_0402_1005Metric,76,-60.2,0,top
R9,1k5,R_0402_1005Metric,97.8,-74.11,-90,top
RST,SW_Push,SW_Push_1P1T_NO_CK_KMR2,79.2,-74.6,90,top
U1,USBLC6-2SC6,SOT-23-6,107.3375,-69.4,180,top
U2,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,91.4,-70,0,top
U3,MIC5365-3.3YD5,TSOT-23-5,101,-71.8,180,top
U4,MCP2562-H-SN,SOIC-8_3.9x4.9mm_P1.27mm,82.295,-62.275,90,top
UART,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,97.34,-56.2,-90,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,79.35,-68.7,-90,top
